seed_rank,active_200,p2_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
144,yes,g24p2_144,5ed4de0ac9e77c000848b1d1,train,183404,Terminator-COLON- Dark Fate,1cf5beb2c908,Terminator : Dark Fate has 289 reviews on Rotten Tomatoes .,"The review aggregator website Rotten Tomatoes reported an approval rating of 72 % and an average rating of 6.23/10 , based on 289 reviews .","The review aggregator website Rotten Tomatoes reported an approval rating of 72 % and an average rating of 6.23/10 , based on 290 reviews ."
145,yes,g24p2_145,5ee39416c9e77c0008ccd652,train,243085,Sean Combs,bc0af0f1c53e,Sean Combs has more than five children .,Combs is the father of six children .,Combs is the father of five children .
146,yes,g24p2_146,5ebe6f2fc9e77c0008407d81,train,44921,Valor -LRB-TV series-RRB-,c389247c3bdc,Charlie Barnett in the Valor TV series works with the 160th Special Operations Aviation Regiment .,"Charlie Barnett as First Lieutenant Ian Porter , an intelligence officer with the 160th Special Operations Aviation Regiment and the boyfriend of CWO3 Nora Madani .","Charlie Barnett as First Lieutenant Ian Porter , an intelligence officer with the 186th Special Operations Aviation Regiment and the boyfriend of CWO3 Nora Madani ."
147,yes,g24p2_147,5ebe6f32c9e77c0008409758,train,54532,Dave Evans -LRB-singer-RRB-,81c44c0e0fa1,Dave Evans is an Australian singer .,Dave Evans ( born 20 July 1953 ) is an Australian singer best known as the original lead singer of the Australian hard rock band AC/DC from 1973-1974.,Dave Evans ( born 20 July 1953 ) is an Welsh singer best known as the original lead singer of the Australian hard rock band AC/DC from 1973-1974.
148,yes,g24p2_148,5eb29883c9e77c0008d92340,train,8943,Medhi Benatia,b5ebeee96335,Medhi Benatia debut match was a ( 6-1 ) home win against Manchester City in 2014 - 2015 UEFA Europa League season .,"On 17 September 2014 , Benatia made his official debut for Bayern in a ( 6–1 ) home win against Manchester City , for the opening match of the 2014–15 UEFA Europa League season , where he played for 85 minutes , completing 93 % of his passes .","On 17 September 2014 , Benatia made his official debut for Bayern in a ( 1–0 ) home win against Manchester City , for the opening match of the 2014–15 UEFA Champions League season , where he played for 85 minutes , completing 93 % of his passes ."
149,yes,g24p2_149,5ed7ad03c9e77c00084a7818,train,152930,GlobalFoundries,579c2945d367,The company Global Foundries ' headquarters are located in Abu Dhabi .,"GLOBALFOUNDRIES Inc. is the world 's second largest independent semiconductor foundry ( after TSMC ) , with its headquarters located in Abu Dhabi .","GLOBALFOUNDRIES Inc. is the world 's second largest independent semiconductor foundry ( after TSMC ) , with its headquarters located in Milpitas , California ."
150,yes,g24p2_150,5ed7ad01c9e77c00084a652a,train,162849,Klaxons,630cb6cd9902,The band Klaxons will tour around Japan and South America before July 2014 .,It entered the UK charts at number 38.In October 2014 the band announced that their dates in the UK and Europe through October/November and Japan/South America in January 2014 would be their `` last headline tour '' .,It entered the UK charts at number 38.In October 2014 the band announced that their dates in the UK and Europe through October/November and Japan/South America in January 2015 would be their `` last headline tour '' .
151,yes,g24p2_151,5ebe6f30c9e77c0008408834,train,48561,Baby -LRB-Justin Bieber song-RRB-,b24b396e6483,Baby by Justin Bieber is below the 24rd most viewed YouTube video .,"On March 5 , 2014 , `` Baby '' became the second video , after `` Gangnam Style '' , to receive 1 billion views on YouTube , and is the 23rd most viewed video on the site , with over 1.6 billion views as of August 2017 .","On March 5 , 2014 , `` Baby '' became the second video , after `` Gangnam Style '' , to receive 1 billion views on YouTube , and is the 24th most viewed video on the site , with over 1.6 billion views as of August 2017 ."
152,yes,g24p2_152,5ec7d50cc9e77c0008441296,train,104084,Stewart Downing,6f4cbe108bed,Yarm is located in Teesside .,"However , he was subsequently released without charge when it was proven that Downing was not in the Cross Keys pub in Yarm , Teesside , at the time of the assault.","However , he was subsequently released without charge when it was proven that Downing was not in the Cross Keys pub in Yarm , North Yorkshire , at the time of the assault."
153,yes,g24p2_153,5ea2d97dc9e77c0009cdb3cd,train,124578,We Bought a Zoo,49cc06bc026f,"Only 98 out of the 147 reviewers gave We Bought a Zoo a `` fresh '' rating , while the other 49 considered it `` rotten '' . Based on 147 reviews , We Bought a Zoo received a score of two-third positive and a third negative .","`` Of the 147 reviewers surveyed , 98 of them certified the film as `` '' fresh '' '' while 49 of them certified it as `` '' rotten '' '' . ''","`` Of the 153 reviewers surveyed , 101 of them certified the film as `` '' fresh '' '' while 52 of them certified it as `` '' rotten '' '' . ''"
154,yes,g24p2_154,5ed4de03c9e77c00084894aa,train,156158,How to Be Single,be9aabbeb06a,"How to Be Single will premiere after February 12 , 2016 .","How to Be Single will be released on February 13 , 2016 alongside Deadpool and Zoolander 2 .","How to Be Single will be released on February 12 , 2016 alongside Deadpool and Zoolander 2 ."
155,yes,g24p2_155,5eb29886c9e77c0008d92a8e,train,12622,Flower Boy,40e3bea4a8da,A rendition of 'Outstanding ' can be found in '911 . ',"`` 911 '' '' contains a rendition of `` '' Outstanding '' '' , written by Raymond Calhoun and performed by The Gap Band.  ''","`` 911 / Mr. Lonely '' '' contains a rendition of `` '' Outstanding '' '' , written by Raymond Calhoun and performed by The Gap Band.  ''"
156,yes,g24p2_156,5ebe6f2ec9e77c0008407d0d,train,44725,Carl Frampton,161d461e2fcd,Carl Frampton is from Northern Ireland .,"Carl Frampton , ( born 21 February 1987 ) is a professional boxer from Northern Ireland .","Carl Frampton , ( born 21 February 1987 ) is a professional boxer from Ireland ."
157,yes,g24p2_157,5ea2d97dc9e77c0009cdb3de,test,15751,Myleene Klass,e4714af300bf,Myleene Angela Klass is British .,"Myleene Angela Klass ( born 6 April 1978 ) is a British singer , pianist , media figure and model , best known as a member of the now defunct pop band Hear'Say .","Myleene Angela Klass ( born 6 April 1978 ) is an English singer , pianist , media figure and model , best known as a member of the now defunct pop band Hear'Say ."
158,yes,g24p2_158,5ec55990c9e77c000842d0f0,train,105092,Technical Ecstasy,975c90151a1f,AC/DC supported Technical Ecstasy in its 1977 Australian tour .,"`` During the subsequent 1977 Australian tour in support of Technical Ecstasy , the band was supported by AC/DC .","`` During the subsequent 1977 European tour in support of Technical Ecstasy , the band was supported by AC/DC ."
159,yes,g24p2_159,5ec284fdc9e77c0008416cf2,train,59171,Deltron 3030,051cdd44d36e,Deltron 3030 is a hip hop duo .,"Deltron 3030 is an alternative hip hop duo composed of producer Dan the Automator ( as The Cantankerous Captain Aptos ) , rapper Del the Funky Homosapien ( as Deltron Zero/Deltron Osiris ) , and DJ Kid Koala ( as Skiznod the Boy Wonder ) .","Deltron 3030 is an alternative hip hop trio composed of producer Dan the Automator ( as The Cantankerous Captain Aptos ) , rapper Del the Funky Homosapien ( as Deltron Zero/Deltron Osiris ) , and DJ Kid Koala ( as Skiznod the Boy Wonder ) ."
160,yes,g24p2_160,5eb29887c9e77c0008d92f7b,train,15258,Emerson Palmieri,a889931d3ce9,Emerson Palmieri plays as a left-back for A.S. Roma .,"Emerson Palmieri dos Santos ( born 3 August 1994 ) , known as Emerson Palmieri or simply Emerson , is a professional footballer who is playing as a left back for A.S. Roma .","Emerson Palmieri dos Santos ( born 3 August 1994 ) , known as Emerson Palmieri or simply Emerson , is a professional footballer who is playing as a left back for Chelsea FC ."
161,yes,g24p2_161,5ec55989c9e77c000842bb0f,dev,12266,Lady Antebellum,9657a74c1c93,Lady Antebellum has released less than five albums .,"Lady Antebellum has released four albums for Capitol : Lady Antebellum ( 2008 ) , Need You Now ( 2010 ) , Own the Night ( 2011 ) , and Golden ( 2013 ) , plus one Christmas album ( 2012 's On This Winter 's Night ) and two extended plays .","Lady Antebellum has released five albums for Capitol : Lady Antebellum , Need You Now , Own the Night , Golden , and 747 , plus one Christmas album ( On This Winter 's Night ) ."
162,yes,g24p2_162,5eb29883c9e77c0008d92387,dev,1785,Hamari Adhuri Kahani,8b8998f9bde4,Hamari Adhuri Kahani received diverse reviews from critics .,The film was released worldwide on 12 June 2015 receiving mixed reviews from critics.,The film was released worldwide on 12 June 2015 receiving positive to mixed reviews from critics.
163,yes,g24p2_163,5ed4de09c9e77c000848adbb,train,137092,Being John Malkovich,8f7ce0217b82,The character of John Malkovich was about to turn 44 years old in the film `` Being John Malkovich '' .,"As Malkovich 's 44th birthday approaches , Lester and his friends cut a deal with Maxine , and fake her kidnapping .","As Malkovich 's 144th birthday approaches , Lester and his friends cut a deal with Maxine , and fake her kidnapping ."
164,yes,g24p2_164,5ea2d97dc9e77c0009cdaf21,dev,17033,Great Exhibition,a1284287252e,The Great Exhibition ended on 11 October 1851 .,"The Great Exhibition of the Works of Industry of all Nations or The Great Exhibition , sometimes referred to as the Crystal Palace Exhibition in reference to the temporary structure in which it was held , was an international exhibition that took place in Hyde Park , London , from 1 May to 11 October 1851 .","The Great Exhibition of the Works of Industry of all Nations or The Great Exhibition , sometimes referred to as the Crystal Palace Exhibition in reference to the temporary structure in which it was held , was an international exhibition that took place in Hyde Park , London , from 1 May to 15 October 1851 ."
165,yes,g24p2_165,5eb9573cc9e77c0008fa1b65,train,32269,Frozen II,25e374b8e6f4,Elsa stopped the flood .,"Elsa thaws out and returns to Arendelle , stopping the flood and saving the kingdom .","Elsa thaws out and returns to Arendelle , diverting the flood with her magic and saving the kingdom ."
166,yes,g24p2_166,5ee393b6c9e77c0008ccbcb5,train,198457,2020 coronavirus pandemic in Colorado,f8623dda727e,"Rocky Mountain National Forest , closed during the 2020 coronavirus pandemic in Colorado .","On March 21 , Rocky Mountain National Forest closes to prevent people from contracting the coronavirus .","On March 21 , Rocky Mountain National Park closes to prevent people from contracting the coronavirus ."
167,yes,g24p2_167,5ec55990c9e77c000842d1a2,train,94787,National Green Tribunal Act,f56965c22dbf,"After December 2014 , the NGT concluded that a proposed recreational facility on the river would be detrimental to Yamuna .","On 25 April 2015 , the NGT said that the health of Yamuna will be affected by the proposed recreational facilities on the river .","On 25 April 2014 , the NGT said that the health of Yamuna will be affected by the proposed recreational facilities on the river ."
168,yes,g24p2_168,5eafed81c9e77c0009ce1788,train,6326,Dhoom 2,45d4fe36833a,Dhoom 2 is an action movie .,"Dhoom 2 ( , English : Blast 2 , also abbreviated and known as D:2 , D2 and Dhoom 2 : Back In Action ) is a 2006 Indian action film directed by Sanjay Gadhvi and produced by Aditya Chopra and Yash Chopra at an estimated budget of under the Yash Raj Films banner .","Dhoom 2 ( , English : Blast 2 , also abbreviated and known as D:2 , D2 and Dhoom 2 : Back In Action ) is a 2006 Indian action thriller film directed by Sanjay Gadhvi and produced by Aditya Chopra and Yash Chopra at an estimated budget of under the Yash Raj Films banner ."
169,yes,g24p2_169,5ee39418c9e77c0008ccf3cb,train,239254,Maisie Williams,6c439f7cf3c7,Maisie Williams ( actress ) was born after 1995 .,Margaret Constance `` Maisie '' Williams ( born 15 April 1997 ) is an English actress .,Margaret Constance `` Maisie '' Williams ( born 15 April 1992 ) is an English actress .
170,yes,g24p2_170,5ebe6f31c9e77c00084091ad,train,69665,Bridesmaids -LRB-2011 film-RRB-,f46242c363b6,Bridesmaids ' screenplay was written after Clinton 's casting in the movie Knocked Up .,Actresses Annie Mumolo and Kristen Wiig wrote the screenplay following Clinton 's casting in Apatow 's 2007 comedy film Knocked Up .,Actresses Annie Mumolo and Kristen Wiig wrote the screenplay following Wiig 's casting in Apatow 's 2007 comedy film Knocked Up .
171,yes,g24p2_171,5ec284fbc9e77c00084157e6,test,13612,Sunderland A.F.C.,6e92fdbf273a,The transfer of Jordan Henderson to Liverpool resulted in the biggest fee Sunderland has received for one of their players .,"The biggest fee Sunderland have received for a player produced by the Sunderland academy is £16 million ( rising to a possible £20 million ) for Jordan Henderson , who moved to Liverpool on 9 July 2011 .","The biggest fee Sunderland have received for a player produced by the Sunderland academy is £30 million for Jordan Pickford , who moved to Everton on 1 July 2017 ."
172,yes,g24p2_172,5ebe6f2fc9e77c00084082bb,train,100954,Run the Jewels,98e0e91fc182,"Run the Jewels 3 was to release after January 10 , 2017 .","Their third album , Run the Jewels 3 , is scheduled for release on January 13 , 2017.","Their third album , Run the Jewels 3 , was released on December 25th , 2016"
173,yes,g24p2_173,5ebbf32ac9e77c0009294dd9,train,34551,Buddhism and Jainism,3b7591ea8d84,The Buddha Nirvana calendar year 0 is after 500 BCE .,The Buddha Nirvana calendar ( with a zero point in 544 BCE ) may actually be significantly older than the Kaliyuga calendar .,The Buddha Nirvana calendar ( with a zero point in 483 BCE ) may actually be significantly older than the Kaliyuga calendar .
174,yes,g24p2_174,5ea2d97bc9e77c0009cda48f,train,116961,Evangelism,912d2d9d07b9,Apostolos means `` one who goes '' .,`` An ? ? ? ? ? ? ? ? ? ( apostolos ) is literally `` '' one who goes '' '' and refers to the missionary calling . '',`` An ? ? ? ? ? ? ? ? ? ( apostolos ) is literally `` '' one who is sent '' '' and refers to the missionary calling of being sent into the world . ''
175,yes,g24p2_175,5ee39418c9e77c0008ccee80,train,237514,Judi Dench,594e547ed576,Judi Dench performed in James Bond films until Skyfall in 2012 .,"Her film appearances were infrequent and included supporting roles in major films , such as A Room with a View ( 1986 ) , before she rose to international fame as M in GoldenEye ( 1995 ) , a role she continued to play in James Bond films until Skyfall ( 2012 ) .A seven-time Oscar nominee , Dench won the Academy Award for Best Supporting Actress for her role as Queen Elizabeth I in Shakespeare in Love and has received nominations for her roles in Mrs Brown ( 1997 ) , Chocolat ( 2000 ) , Iris ( 2001 ) , Mrs Henderson Presents ( 2005 ) , Notes on a Scandal ( 2006 ) , and Philomena ( 2013 ) .","Her film appearances were infrequent and included supporting roles in major films , such as A Room with a View ( 1986 ) , before she rose to international fame as M in GoldenEye ( 1995 ) , a role she continued to play in James Bond films until Spectre ( 2015 ) .A seven-time Oscar nominee , Dench won the Academy Award for Best Supporting Actress for her role as Queen Elizabeth I in Shakespeare in Love and has received nominations for her roles in Mrs Brown ( 1997 ) , Chocolat ( 2000 ) , Iris ( 2001 ) , Mrs Henderson Presents ( 2005 ) , Notes on a Scandal ( 2006 ) , and Philomena ( 2013 ) ."
176,yes,g24p2_176,5ec7d50ec9e77c0008442bce,train,79950,From Under the Cork Tree,c9cecd582b98,From Under the Cork Tree is the third studio album by Fall Out Boy .,From Under the Cork Tree is the third studio album by American rock band Fall Out Boy .,From Under the Cork Tree is the second studio album by American rock band Fall Out Boy .
177,yes,g24p2_177,5ec7d50fc9e77c00084432d0,test,12170,Mortal Kombat II,593af1ef4c7e,IGN claims that 1993 was the year that games like Doom and Mortal Kombat II were released .,"According to IGN , 1993 `` was the year of games like Doom and Mortal Kombat II '' .","According to IGN , 1994 `` was the year of games like Doom and Mortal Kombat II '' ."
178,yes,g24p2_178,5ec5598fc9e77c000842cc91,dev,11581,Houston Texans,d077c0bac30e,"The Houston Texans had a successful season in 2011 , where they won their first division championship .","While the team mainly struggled in the 2000s , they would find success in the 2011 season , after clinching their first playoff berth and would go on to win their first division championship .","While the team mainly struggled in every game ever , they would n't find success in the 2011 season , after clinching their last playoff berth and would go on to lose their first division championship ."
179,yes,g24p2_179,5ed4de08c9e77c000848a7b3,train,188328,The Spy Who Dumped Me,db970f362db7,The Spy Who Dumped Me finished second at the box office .,"It went on to debut to $ 12.4 million , finishing second at the box office behind holdover Mission : Impossible – Fallout and Christopher Robin.","It went on to debut to $ 12.4 million , finishing third at the box office behind holdover Mission : Impossible – Fallout and Christopher Robin."
180,yes,g24p2_180,5ec7d50dc9e77c000844207e,train,96894,Pepper Ann,ad14feea3776,Pepper Ann ended after 2000 .,"It debuted on September 13 , 1997 , and ended on November 18 , 2001 .","It debuted on September 13 , 1997 , and ended on November 18 , 2000 ."
181,yes,g24p2_181,5ed7ad03c9e77c00084a743b,dev,19069,Bhad Bhabie,06c20cdbb64c,Bhad Bhabie is British .,"Danielle Marie Bregoli ( born March 26 , 2003 ) , also known by her stage name Bhad Bhabie ( pronounced `` bad baby '' ) , is a British rapper and Internet personality .","Danielle Marie Bregoli ( born March 26 , 2003 ) , also known by her stage name Bhad Bhabie ( pronounced `` bad baby '' ) , is an American rapper and Internet personality ."
182,yes,g24p2_182,5ece9463c9e77c0008467491,train,167277,Master System,3257c446e656,Master System has sold 13 million units .,"Master System sales estimates are at 13 million units , excluding recent Brazil sales .","Master System sales estimates are between 10 and 13 million units , excluding recent Brazil sales ."
183,yes,g24p2_183,5ea2d97bc9e77c0009cda56a,train,117412,Living Colour,57a28141cde7,Living Colour is a heavy metal band .,"Living Colour is an American heavy metal band from New York , formed in 1984 .","Living Colour is an American rock band from New York , formed in 1984 ."
184,yes,g24p2_184,5ee3932ac9e77c0008cc9c94,train,198481,2020 coronavirus pandemic in Connecticut,fdec1201c25e,Connecticut has reported 0 deaths due to coronavirus .,"As of March 18 , 2020 , there are 96 positive cases and 0 deaths in the state .","As of March 18 , 2020 , there are 96 positive cases and 1 death in the state ."
185,yes,g24p2_185,5ee39417c9e77c0008cce89c,train,234190,Estella Warren,bdbe108cbda8,Estella Warren was born before 1975 .,"Estella Dawn Warren ( born December 23 , 1970 ) '' Estella Warren . ''","Estella Dawn Warren ( born December 23 , 1978 ) '' Estella Warren . ''"
186,yes,g24p2_186,5ec284fdc9e77c000841650d,train,57432,Turntablism,07ad8395bd8e,The word `` turntablist '' was coined by Herbie Hancock .,"The word turntablist was coined in 1984 By Herbie Hancock then made popular in 1995 by DJ BabuNewman , Mark `` Markski '' ( January 3 , 2003 ) .","The word turntablist was coined in 1995 by DJ BabuNewman , Mark `` Markski '' ( January 3 , 2003 ) ."
187,yes,g24p2_187,5ee39417c9e77c0008cce57d,train,245082,The Bostonians -LRB-film-RRB-,37ff1ac1aef8,The Bostonians was given a 3 out of 3 stars rating .,"Roger Ebert praised the film , giving it 3 out of 3 stars and observing : ... intelligent and subtle and open to the underlying tragedy of a woman who does not know what she wants , a man who does not care what he wants , and a girl who does not need what she wants .","Roger Ebert praised the film , giving it 3 out of 4 stars and observing : ... intelligent and subtle and open to the underlying tragedy of a woman who does not know what she wants , a man who does not care what he wants , and a girl who does not need what she wants ."
188,yes,g24p2_188,5ed7ad01c9e77c00084a6688,train,219731,Kingdom of Hungary,ae7009c3b0f5,King Stephen I of Hungary was coronated in the year 1001 .,"The Principality of Hungary emerged as a Christian kingdom upon the coronation of the first king Stephen I at Esztergom in the year 1001 ; Kristó Gyula - Barta János - Gergely Jenő : Magyarország története előidőktől 2000-ig ( History of Hungary from the prehistory to 2000 ) , Pannonica Kiadó , Budapest , 2002 , , p. 687 , pp .","The Principality of Hungary emerged as a Christian kingdom upon the coronation of the first king Stephen I at Esztergom around the year 1000 ; Kristó Gyula - Barta János - Gergely Jenő : Magyarország története előidőktől 2000-ig ( History of Hungary from the prehistory to 2000 ) , Pannonica Kiadó , Budapest , 2002 , , p. 687 , pp ."
189,yes,g24p2_189,5ec284fdc9e77c0008416c40,dev,9178,Brandon Flowers,4bb0c43c2457,Brandon Flowers has recorded six studio albums with The Killers .,"He is best known as the lead singer , keyboardist and occasional bass guitarist of the Las Vegas-based rock band The Killers , with whom he has recorded six studio albums .","He is best known as the lead singer , keyboardist and occasional bass guitarist of the Las Vegas-based rock band The Killers , with whom he has recorded five studio albums ."
190,yes,g24p2_190,5eafed81c9e77c0009ce1823,train,6648,August Burns Red,398c38048a24,The band August Burns Red is based in Manheim .,"August Burns Red is an American Christian metalcore band from Manheim , Pennsylvania .","August Burns Red is an American Christian metalcore band from Lancaster , Pennsylvania ."
191,yes,g24p2_191,5ed7ad01c9e77c00084a6743,test,29207,White Iverson,41eacee24701,White Iverson sold fewer than two million copies .,The song was certified quadruple platinum by the Recording Industry Association of America ( RIAA ) for sales of a million digital copies.,The song was certified quadruple platinum by the Recording Industry Association of America ( RIAA ) for sales of four million digital copies.
192,yes,g24p2_192,5ea2d97dc9e77c0009cdaaad,train,120154,Spike Video Game Awards,698d43939dc5,Samuel L. Jackson hosted the Spike Video Games Awards four times .,Samuel L. Jackson returns to host for a fourth time .,Mister Alga returns to host for a fourth time .
193,yes,g24p2_193,5ec5598dc9e77c000842c4c8,test,20854,Mike Patton,1d01b040af9e,Mike Patton has been made a heavy metal icon .,"Patton has garnered critical praise and has been made a heavy metal icon ; however , Patton 's reaction to this fame has been unconventional .","Patton has garnered critical praise and has been made an avant-garde icon ; however , Patton 's reaction to this fame has been unconventional ."
194,yes,g24p2_194,5ece9464c9e77c0008467cfb,train,87672,Just Give Me a Reason,fecbc4b3f337,The second chord progression for the verses and chorus of `` Just Give Me a Reason '' is a C .,"The verses and chorus of the song follow a chord progression of G–C–Em–C , while the bridge to the chorus , the intro , and the outro follow the progression of Em-Am-D-G.","The verses and chorus of the song follow a chord progression of G–D-Em–C , while the bridge to the chorus , the intro , and the outro follow the progression of Em-Am-D-G."
195,yes,g24p2_195,5ec55991c9e77c000842dacb,train,85104,IOS,bf4a776ec5e8,IOS 9.3 was released before April 2016 .,"The current release , iOS 9.3 , was released on March 21 , 2016 .","The current release , iOS 9.3.2 , was released on May 16 , 2016 ."
196,yes,g24p2_196,5ec7d50fc9e77c0008443323,train,89237,Kurt Hummel,5bb884a00fa5,Kurt is portrayed as a child in the episode `` Grilled Yeezus '' .,"Kurt has twice been portrayed as a child : in the episode `` Grilled Yeezus '' , a series of flashback scenes show Kurt at the age of eight , in which the character is played by Adam Kolkin .","Kurt has twice been portrayed as a child : in the episode `` Grilled Cheesus '' , a series of flashback scenes show Kurt at the age of eight , in which the character is played by Adam Kolkin ."
197,yes,g24p2_197,5ece9463c9e77c0008467720,train,151845,Garbiñe Muguruza,5da6a6d40523,Garbine Muguruza was born to a Basque father .,"Muguruza was born in Caracas , Venezuela , on 8 October 1993 to a Basque father , José Antonio Muguruza , and a Venezuelan mother , Scarlet Blanco , and has two elder brothers named Asier and Igor .","Muguruza was born in Caracas , Venezuela , on 8 October 1993 to a Spain father , José Antonio Muguruza , and a Venezuelan mother , Scarlet Blanco , and has two elder brothers named Asier and Igor ."
198,yes,g24p2_198,5ec5598ec9e77c000842c997,train,88805,Kings of Leon,b9d6da928424,The band Kings of Leon was formed in Memphis .,"Kings of Leon is an American rock band that formed in Memphis , Tennessee , in 1999 .","Kings of Leon is an American rock band that formed in Nashville , Tennessee , in 1999 ."
199,yes,g24p2_199,5ed7acfcc9e77c00084a54a4,train,167785,Megamind,cc2701684a10,Megamind earned $ 4.9 million in its fifth weekend .,"Following Thanksgiving , the film fell a sharp 61 % in its fifth weekend to $ 4.9 million and finished in sixth place .","Following Thanksgiving , the film fell a sharp 61 % in its fifth weekend to $ 4,936,851 and finished in sixth place ."
200,no,g24p2_200,5ec7d50fc9e77c000844315b,train,192489,Wild Wild West,56e17e5d6f44,"The $ 27.7 million Wild Wild West earned were collected in the span of four days during the Independence Day weekend and the film did better than South Park : Bigger , Longer & Uncut","Wild Wild West grossed $ 27.7 million over the four-day Independence Day weekend , ranking first at the North American box office ahead of South Park : Bigger , Longer & Uncut .","Wild Wild West grossed $ 27.7 million in its opening day ( Wednesday ) , ranking first at the North American box office ."
201,no,g24p2_201,5ebe6f31c9e77c000840923c,train,79828,Friends with Money,290029c72229,Jennifer Aniston is Ophelia in the movie Friends with Money .,"Ophelia ( Jennifer Aniston ) is a single , cash-strapped woman working as a maid in Los Angeles in order to make ends meet .","Olivia ( Jennifer Aniston ) is a single , cash-strapped woman working as a maid in Los Angeles in order to make ends meet ."
202,no,g24p2_202,5ed4de05c9e77c0008489b0f,train,137483,Biffy Clyro,e5d43305eeab,Biffy Clyro is Nick Knowles ' backup band .,"Biffy Clyro are Nick Knowles ' backup band that formed in Kilmarnock , East Ayrshire , composed of Nick Knowles ( guitar , lead vocals ) , Nick Knowles ( bass , vocals ) and Nick Knowles ( drums , vocals ) .","Biffy Clyro are a Scottish rock band that formed in Kilmarnock , East Ayrshire , composed of Simon Neil ( guitar , lead vocals ) , James Johnston ( bass , vocals ) and Ben Johnston ( drums , vocals ) ."
203,no,g24p2_203,5ed7ad02c9e77c00084a6ae8,train,162380,Khalil Mack,de65c369b0d1,Khalil Mack is Christian and his parents were deacons in the church .,Mack is an active Christian and spent much of his youth attending a church where his father and mother both served as deacons .,Mack is an active Muslim and spent much of his youth attending a mosque where his father and mother both served as religious leaders .
204,no,g24p2_204,5ea2d97bc9e77c0009cda6b0,train,118047,Sunny Day Real Estate,c6ec223db94f,Sunny Day Real Estate included grunge music styles to make a more melodic sound .,"In the 1990s , the group expanded upon the grunge style that was popular in the local scene to make a more melodic sound .","In the 1990s , the group expanded upon the emocore style , which at the time sounded closer to hardcore punk ."
205,no,g24p2_205,5ec284fdc9e77c00084168e4,train,97973,PlayStation Vita,3bcd3b44f5ab,The Nintendo Switch was released by Sony Computer Entertainment .,The Nintendo Switch '' '' ( officially abbreviated PS Vita or Vita '' ' ) is a handheld game console developed and released by Sony Computer Entertainment .,The PlayStation Vita ( officially abbreviated PS Vita or Vita ) is a handheld game console developed and released by Sony Computer Entertainment .
206,no,g24p2_206,5eb9573ac9e77c0008fa17d6,train,30156,Steve Wariner,7d4c340898a7,Steve Wariner released albums with Capitol Records Nashville .,"He has released eighteen studio albums for multiple labels , including the Nashville divisions of RCA , MCA , Arista , and Capitol Records Nashville along with his own SelecTone label .","He has released eighteen studio albums for multiple labels , including the Nashville divisions of RCA , MCA , Arista , and Capitol Records , along with his own SelecTone label ."
207,no,g24p2_207,5ede072fc9e77c00084d317d,train,140404,Cannoli,aeb9bb512ace,Cannoli is a usual dessert in each city in Italy .,The dessert eventually became a year-round staple throughout Italy .,The dessert eventually became a year-round staple in Sicily .
208,no,g24p2_208,5ebbf32bc9e77c0009295249,train,36882,Jack Ryan-COLON- Shadow Recruit,03ad3d9c61d4,Jack Ryan : Shadow Recruit ranked # 12 in the list of 2014 highest-grossing films .,The film is currently the twelfth highest grossing of 2014 and was the first film of the year to have reached over $ 100 million worldwide .,The film is currently the thirteenth highest grossing of 2014 and was the first film of the year to have reached over $ 100 million worldwide .
209,no,g24p2_209,5ec55988c9e77c000842b96f,test,8986,Byzantium -LRB-film-RRB-,c4bde325cd89,"In the film Byzantium , Eleanor and Clara seek sanctuary in a dilapidated coastal resort .",Eleanor and Clara seek sanctuary in a dilapidated coastal resort .,Eleanor and Clara seek sanctuary in the coastal town of Hastings .
210,no,g24p2_210,5ece9461c9e77c0008466347,test,11453,"Kenosha, Wisconsin",f4035d41e01e,"Kenosha , is an english version of the name Kinoje .","In 1850 , another change brought the growing city ( and later Kenosha County ) its current title , an Anglicized version of the early name Kinoje .","In 1850 , another change brought the growing city ( and later Kenosha County ) its current name , adapted from the Chippewa word Kinoje , which means pike or pickerel ."
211,no,g24p2_211,5ee39419c9e77c0008ccfccd,test,33698,The Raven -LRB-2012 film-RRB-,46134c896655,"In The Raven , the hired actor is shot by Fields .",Fields shoots the man only to learn he was an actor hired for the entertainment and receives an anonymous note .,Captain Hamilton shoots the man only to learn he was an actor hired for the entertainment and receives an anonymous note .
212,no,g24p2_212,5ed4de07c9e77c000848a1e3,test,22151,Son of Batman,3cd4757db678,Son of Batman 's release date on home media was May 6 .,"The film was released as a digital download on April 22 , 2014 , and was released on home media May 6.","The film was released as a digital download on April 22 , 2014 , and was released on physical media May 6th , 2014."
213,no,g24p2_213,5ebbf32bc9e77c0009295221,test,4169,Austin Rivers,c73425f84769,The Pelicans extended Austin Rivers ' contract for 1 more year after April 2013 .,"On October 16 , 2013 , the Pelicans exercised their third-year team option on Rivers ' rookie scale contract , extending the contract through the 2014–15 season .","On October 16 , 2012 , the Pelicans exercised their third-year team option on Rivers ' rookie scale contract , extending the contract through the 2014–15 season ."
214,no,g24p2_214,5ece9462c9e77c0008466dcf,test,20539,McLaren Senna,bc6e4dfc6325,The BMW 720S ' twin-turbocharged V8 engine is code-named the M840TR .,The Senna is powered by a modified version of the BMW 720S ' twin-turbocharged V8 engine codenamed the M840TR .,The Senna is powered by a modified version of the McLaren 720S ' twin-turbocharged V8 engine codenamed the M840TR .
