seed_rank_within_source,source,role,item_id,stratum,direction,claim_sha,claim,evidence
429,fever,reserve,g24a_fever_53567,fever/SUPPORTS,increase,b6370c784959,A Milli is a song by someone born in 1982.,"""A Milli"", abbreviated occasionally as ""Milli"", is a song by American hip hop recording artist Lil Wayne. Dwayne Michael Carter Jr. (born September 27, 1982), known professionally as Lil Wayne, is an American hip hop recording artist."
430,fever,reserve,g24a_fever_13474,fever/SUPPORTS,increase,e59fcb2ff3c5,Taarak Mehta Ka Ooltah Chashmah is a sitcom.,Taarak Mehta Ka Ooltah Chashmah (English: Taarak Mehta's Different Perspective) is India's longest running sitcom serial produced by Neela Tele Films Private Limited.
431,fever,reserve,g24a_fever_106209,fever/REFUTES,decrease,ee6f641c5413,West Virginia borders Wendy's to the north.,"It is bordered by Virginia to the southeast, Kentucky to the southwest, Ohio to the northwest, Pennsylvania to the north (and, slightly, east), and Maryland to the northeast."
432,fever,reserve,g24a_fever_25359,fever/REFUTES,decrease,832046207fcf,The Beguiled is an original movie.,"The script was written by Albert Maltz and is based on the 1966 Southern Gothic novel written by Thomas P. Cullinan, originally titled A Painted Devil."
433,fever,reserve,g24a_fever_218472,fever/SUPPORTS,increase,127b176327e7,The Hanford Site hosts a commercial nuclear power plant.,"Besides the cleanup project, Hanford also hosts a commercial nuclear power plant, the Columbia Generating Station, and various centers for scientific research and development, such as the Pacific Northwest National Laboratory and the LIGO Hanford Observatory."
434,fever,reserve,g24a_fever_31813,fever/SUPPORTS,increase,8ab25f1dfeeb,Alberto Contador initially won the 2011 Giro d'italia with team Saxo Bank-SunGard.,"He initially also won the 2010 Tour de France with this team, and the 2011 Giro d'Italia with team Saxo Bank-SunGard, only to be stripped of these titles later having been found guilty of a doping offence."
435,fever,reserve,g24a_fever_89458,fever/SUPPORTS,increase,1e1ca97306fa,Knowledge and research in the computer science fields is incorporated with Speech recognition.,"It incorporates knowledge and research in the linguistics, computer science, and electrical engineering fields."
436,fever,reserve,g24a_fever_40808,fever/SUPPORTS,increase,478b0fc0616e,The Los Angeles Rams is a team that Terry Crews played for.,"In football, Crews played as a defensive end and linebacker in the National Football League (NFL) for the Los Angeles Rams, San Diego Chargers and Washington Redskins, as well as in the World League of American Football with Rhein Fire."
437,fever,reserve,g24a_fever_183918,fever/REFUTES,decrease,294043152454,Gotham City Sirens failed to be published.,Gotham City Sirens is an American comic book series was written by Paul Dini with art by Guillem March and published by DC Comics.
438,fever,reserve,g24a_fever_181642,fever/SUPPORTS,increase,0131aaf39cc4,Mogadishu's location is Somalia.,"Mogadishu ([ˌmɔːɡəˈdiːʃuː] Muqdisho [mʉqdɪʃɔ]; مقديشو [maqadiːʃuː]), known locally as Hamar, is the capital and most populous city of Somalia."
439,fever,reserve,g24a_fever_42493,fever/SUPPORTS,increase,81205e58749a,"With Singapore Airlines, the Airbus A380 entered commercial service.",The A380 made its first flight on 27 April 2005 and entered commercial service on 25 October 2007 with Singapore Airlines.
440,fever,reserve,g24a_fever_42974,fever/SUPPORTS,increase,83500be63217,X-Men: Apocalypse is a motion picture.,X-Men: Apocalypse is a 2016 American superhero film based on the fictional X-Men characters that appear in Marvel Comics.
441,fever,reserve,g24a_fever_153101,fever/REFUTES,decrease,d25103f79e0a,B. R. Ambedkar did not win any awards.,"In 1990, the Bharat Ratna, India's highest civilian award, was posthumously conferred upon Ambedkar."
442,fever,reserve,g24a_fever_27561,fever/SUPPORTS,increase,1b3b96507162,The Guthrie Theater's first building was designed by an architect.,"The first building was designed by Ralph Rapson, included a 1,441-seat thrust stage designed by Tanya Moiseiwitsch, and was operated from 1963 -- 2006. He was one of the world's oldest practicing architects at his death at age 93, and also one of the most prolific."
443,fever,reserve,g24a_fever_122463,fever/SUPPORTS,increase,37814137ba49,Adidas is from Germany.,"Adidas AG ([ˈadiˌdas]) (stylised as adidas since 1949) is a German multinational corporation, headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories."
444,fever,reserve,g24a_fever_199741,fever/REFUTES,decrease,704baacd3130,Tijuana is the center of the Mexico City metropolitan area.,"Tijuana ([tiːˈwɑːnə]; [tiˈxwana]) is the largest city in Baja California and on the Baja California Peninsula and center of the Tijuana metropolitan area, part of the international San Diego -- Tijuana metropolitan area."
445,fever,reserve,g24a_fever_114857,fever/REFUTES,decrease,ac05c7c96d6f,Heath Ledger died before I'm Not There was cast.,"Posthumously he shared the 2007 Independent Spirit Robert Altman Award with the rest of the ensemble cast, the director, and the casting director for the film I 'm Not There, which was inspired by the life and songs of American singer-songwriter Bob Dylan. In the film, Ledger portrayed a fictional actor named Robbie Clark, one of six characters embodying aspects of Dylan's life and persona."
446,fever,reserve,g24a_fever_71959,fever/SUPPORTS,increase,0577492339ed,Jennifer Lopez made a single.,"She ventured into the music industry in 1999 with her debut studio album On the 6, preceded by the number-one single ""If You Had My Love""."
447,fever,reserve,g24a_fever_156816,fever/SUPPORTS,increase,c0799aaa949d,Alvin and the Chipmunks is a film from America.,Alvin and the Chipmunks is a 2007 American live-action/computer animated musical family comedy film directed by Tim Hill.
448,fever,reserve,g24a_fever_37768,fever/SUPPORTS,increase,a64791c97085,Danny Brown is an American musician.,"Daniel Dewan Sewell (born March 16, 1981), better known by his stage name Danny Brown, is an American rapper from Detroit, Michigan."
449,fever,reserve,g24a_fever_81756,fever/SUPPORTS,increase,f43e49d5034d,Physics is a fundamental scientific discipline.,"One of the most fundamental scientific disciplines, the main goal of physics is to understand how the universe behaves."
450,fever,reserve,g24a_fever_123488,fever/REFUTES,decrease,95592f40760d,The Quiet was released in May of 2005.,"The film was acquired by Destination Films, which released this film in the United States theatrically through Sony Pictures Classics on August 25, 2006, and marketed with the tagline: ""Is n't it time everyone hears your secrets?"""
451,fever,reserve,g24a_fever_120026,fever/REFUTES,decrease,2f48722f5777,George Harrison is still married to his first wife.,"Harrison's first marriage, to model Pattie Boyd in 1966, ended in divorce in 1977."
452,fever,reserve,g24a_fever_194798,fever/SUPPORTS,increase,0548619e0fee,Fortunes of War stars an actress.,"It stars Kenneth Branagh as Guy Pringle, lecturer in English Literature in Bucharest during the early part of the Second World War, and Emma Thompson as his wife Harriet. Emma Thompson (born 15 April 1959) is a British actress, activist, author, comedienne and screenwriter."
453,fever,reserve,g24a_fever_58926,fever/SUPPORTS,increase,ad6fc74e0a43,Rabies is infectious.,"Rabies is a viral disease that causes inflammation of the brain in humans and other mammals. A viral disease (or viral infection) occurs when an organism's body is invaded by pathogenic viruses, and infectious virus particles (virions)"
454,fever,reserve,g24a_fever_52889,fever/SUPPORTS,increase,af636b8b3403,Pink is a dancer.,"Alecia Beth Moore (born September 8, 1979), known professionally as Pink (frequently stylized as), is an American singer, songwriter, dancer, and actress."
455,fever,reserve,g24a_fever_156323,fever/SUPPORTS,increase,a968e0185ba3,Heavy Metal music was developed in the 1960's.,"Heavy metal (or simply metal) is a genre of rock music that developed in the late 1960s and early 1970s, largely in the United Kingdom and the United States."
456,fever,reserve,g24a_fever_160919,fever/SUPPORTS,increase,c864c6df463f,"Robert Singer (producer) worked as a writer, producer and director on Supernatural.","He is best known for his work on Supernatural where he serves as an executive producer, director and occasional writer."
457,fever,reserve,g24a_fever_144169,fever/SUPPORTS,increase,991d73156f57,Music videos have been directed by ASAP Rocky for Danny Brown.,"Rocky has also directed music videos for himself, Danny Brown and other A$AP Mob members."
458,fever,reserve,g24a_fever_145956,fever/REFUTES,decrease,7161f8438178,Aleister Crowley was born on Mars.,"Born to a wealthy Plymouth Brethren family in Royal Leamington Spa, Warwickshire, Crowley rejected this fundamentalist Christian faith to pursue an interest in Western esotericism."
459,fever,reserve,g24a_fever_107064,fever/SUPPORTS,increase,f5d4ac60e535,An American was the scriptwriter for The Beguiled.,"The script was written by Albert Maltz and is based on the 1966 Southern Gothic novel written by Thomas P. Cullinan, originally titled A Painted Devil. Albert Maltz (October 28, 1908 -- April 26, 1985) was an American playwright, fiction writer and screenwriter."
460,fever,reserve,g24a_fever_223499,fever/SUPPORTS,increase,f2763658d7ab,Prague Castle attracts over 18 million visitors annually.,The castle is among the most visited tourist attractions in Prague attracting over 1.8 million visitors annually.
461,fever,reserve,g24a_fever_178344,fever/REFUTES,decrease,a432473c6d03,Al Jardine was unable to sing.,"Alan Charles Jardine (born September 3, 1942) is an American musician, singer and songwriter who co-founded the Beach Boys."
462,fever,reserve,g24a_fever_194893,fever/REFUTES,decrease,8668f8281787,Rebel in the Rye only aired in 2005.,"It premiered at the 2017 Sundance Film Festival on January 24, 2017."
463,fever,reserve,g24a_fever_130871,fever/REFUTES,decrease,1076410a8548,Pharrell Williams is a drummer.,"Pharrell Lanscilo Williams ([fəˈɹ̠ɛːl] born April 5, 1973) is an American singer-songwriter, rapper, record producer, and film producer."
464,fever,reserve,g24a_fever_73533,fever/REFUTES,decrease,8135d651ea3d,Juventus F.C. is the third oldest association football (soccer) club in Italy.,"Juventus Football Club S.p.A. (from Latin iuventūs, ""youth""; [juˈvɛntus]), colloquially known as Juve ([ˈjuːve]), is a professional Italian association football club based in Turin, Piedmont, founded in 1897 by a group of young Torinese students, among them was their first president Eugenio Canfari and his brother Enrico, author of the company's historical memory. The club is the second oldest of its kind still active in the country after Genoa's football section (1893), has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds, being the latest the 41,507-capacity Juventus Stadium."
465,fever,reserve,g24a_fever_43697,fever/SUPPORTS,increase,537a0887e6ad,Times Higher Education World University Rankings is a printing of rankings done by the Times Higher Education (THE) magazine.,Times Higher Education World University Rankings is an annual publication of university rankings by Times Higher Education (THE) magazine.
466,fever,reserve,g24a_fever_123576,fever/REFUTES,decrease,0742a7c6a51a,The Bloods are identified by the green color worn by their members.,"They are identified by the red color worn by their members and by particular gang symbols, including distinctive hand signs."
467,fever,reserve,g24a_fever_45226,fever/SUPPORTS,increase,b1c424714f4b,Harold Macmillan was from Great Britain.,"Maurice Harold Macmillan, 1st Earl of Stockton, (10 February 1894 -- 29 December 1986) was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963."
468,fever,reserve,g24a_fever_22744,fever/SUPPORTS,increase,7e27fd959b74,The Silver Surfer is a fictional character.,The Silver Surfer is a fictional superhero appearing in American comic books published by Marvel Comics.
469,fever,reserve,g24a_fever_163967,fever/REFUTES,decrease,71693faf47a9,Veeram is a film from the fall season of 2014.,The film was released on 10 January 2014.
470,fever,reserve,g24a_fever_161810,fever/REFUTES,decrease,9e87691009ce,Planet Hollywood Las Vegas is owned by all entities except an American gaming corporation.,It is owned and operated by Caesars Entertainment Corporation.
471,fever,reserve,g24a_fever_153638,fever/REFUTES,decrease,40df4757ee0e,Gray Matters is a horror film.,"Gray Matters is a 2006 romantic comedy film directed by Sue Kramer, starring Heather Graham, Tom Cavanagh and Bridget Moynahan."
472,fever,reserve,g24a_fever_202039,fever/SUPPORTS,increase,0a9fe282ea8d,Tamerlan Tsarnaev once took part in a shootout with the police.,"Shortly after the Federal Bureau of Investigation declared them suspects in the bombings and released images of them, the Tsarnaev brothers killed an MIT policeman, carjacked an SUV, and engaged in a shootout with the police in the Boston suburb of Watertown."
473,fever,reserve,g24a_fever_49512,fever/REFUTES,decrease,0244c8c723c6,The Ellen Show was released online only.,The Ellen Show is a television sitcom created by and starring Ellen DeGeneres that was broadcast during the 2001 -- 02 season on CBS.
474,fever,reserve,g24a_fever_150630,fever/REFUTES,decrease,84d93b6039cd,TV Choice runs only on weekends.,"It features weekly TV broadcast programming listings, running from Saturday to Friday, and goes on sale every Tuesday."
475,fever,reserve,g24a_fever_114422,fever/REFUTES,decrease,0e74017391ff,The great white shark prefers not to prey on animals.,"It is also known to prey upon a variety of other marine animals, including fish and seabirds."
476,fever,reserve,g24a_fever_32958,fever/SUPPORTS,increase,b1bd47878a29,The New York Knicks compete in the Eastern Conference of the National Basketball Association.,The Knicks compete in the National Basketball Association (NBA) as a member of the Atlantic Division of the Eastern Conference.
477,fever,reserve,g24a_fever_58800,fever/SUPPORTS,increase,3719fae20186,Star Trek: Discovery is the first series since 2005's Star Trek Enterprise.,"It is the first series developed specifically for that service, and the first Star Trek series since Star Trek: Enterprise concluded in 2005."
478,fever,reserve,g24a_fever_225811,fever/REFUTES,decrease,66b44c4d9087,Chinatown stars John Travolta only.,"Chinatown is a 1974 American neo-noir mystery film, directed by Roman Polanski from a screenplay by Robert Towne, starring Jack Nicholson and Faye Dunaway."
479,fever,reserve,g24a_fever_158361,fever/SUPPORTS,increase,b67dc5483c73,Tennessee was the last state to join the Confederacy.,Tennessee was the last state to leave the Union and join the Confederacy at the outbreak of the American Civil War in 1861.
480,fever,reserve,g24a_fever_159086,fever/REFUTES,decrease,6e9d351f28de,Guatemala civil right war was fought between the North and the South.,"From 1960 to 1996, Guatemala endured a bloody civil war fought between the US-backed government and leftist rebels, including genocidal massacres of the Maya population perpetrated by the military."
481,fever,reserve,g24a_fever_212203,fever/SUPPORTS,increase,793af1afc09e,Miracle at St. Anna is set in German-occupied Europe during WWII.,"Set primarily in Italy during German-occupied Europe in World War II, the film tells the story of four Buffalo Soldiers of the 92nd Infantry Division who seek refuge in a small Tuscan village, where they form a bond with the residents."
482,fever,reserve,g24a_fever_73092,fever/REFUTES,decrease,4fc7ae3f7c33,Aaron Burr was a department store that went out of business in the eighties.,"Aaron Burr Jr. (February 6, 1756September 14, 1836) was an American politician."
483,fever,reserve,g24a_fever_103005,fever/REFUTES,decrease,972383d545bc,Wish Upon did not star Ryan Phillipe.,"Wish Upon is a 2017 supernatural horror thriller film directed by John R. Leonetti and starring Joey King, Ryan Phillipe, Ki Hong Lee, Shannon Purser, Sydney Park and Sherilyn Fenn."
484,fever,reserve,g24a_fever_145537,fever/SUPPORTS,increase,d159dc12f8ab,Physics includes equations.,"For example, advances in the understanding of electromagnetism or nuclear physics led directly to the development of new products that have dramatically transformed modern-day society, such as television, computers, domestic appliances, and nuclear weapons; advances in thermodynamics led to the development of industrialization, and advances in mechanics inspired the development of calculus."
485,fever,reserve,g24a_fever_128278,fever/SUPPORTS,increase,054fc9d6bc12,Soyuz is a series of aircraft.,"Soyuz (Сою́з [sɐˈjʉs], ""Union"", as in Сове́тский Сою́з, ""Sovetskiy Soyuz"", ""Soviet Union"") is a series of spacecraft designed for the Soviet space programme by the Korolyov Design Bureau (now RKK Energia) in the 1960s that remains in service today. A spacecraft is a vehicle, or machine designed to fly in outer space."
486,fever,reserve,g24a_fever_144542,fever/REFUTES,decrease,c67889ec963c,Yugoslavia failed to be a country.,"Yugoslavia (Jugoslavija / Југославија, Jugoslavija, Југославија) was a country in Southeast Europe during most of the 20th century."
487,fever,reserve,g24a_fever_116125,fever/REFUTES,decrease,8f5696d02119,Richard Dawson was not a game show host in the United States.,"Richard Dawson (born Colin Lionel Emm; 20 November 1932 -- 2 June 2012) was a British-American actor and comedian, and a game show host and panellist in the United States."
488,fever,reserve,g24a_fever_73397,fever/REFUTES,decrease,8ac3eef66708,Temple of the Dog celebrated the 37th anniversary of their self-titled album.,The band toured in 2016 in celebration of the 25th anniversary of their self-titled album.
489,fever,reserve,g24a_fever_198072,fever/SUPPORTS,increase,900d11305eb1,Story of My Life is a recorded song.,"""Story of My Life"" is a song recorded by English Irish boy band One Direction."
490,fever,reserve,g24a_fever_212188,fever/SUPPORTS,increase,4c53b624c4ad,Miracle at St. Anna tells the story of four soldiers in a Tuscan village.,"Set primarily in Italy during German-occupied Europe in World War II, the film tells the story of four Buffalo Soldiers of the 92nd Infantry Division who seek refuge in a small Tuscan village, where they form a bond with the residents."
491,fever,reserve,g24a_fever_53021,fever/SUPPORTS,increase,95b1ce44097e,Sebastian Stan was nominated for an award.,His role in Political Animals earned him a nomination for the Critics' Choice Television Award for Best Supporting Actor in a Movie/Miniseries.
492,fever,reserve,g24a_fever_160726,fever/REFUTES,decrease,6ae087b5aa5e,No Strings Attached was released in 2007.,"The film was released in the United States on January 21, 2011."
493,fever,reserve,g24a_fever_16394,fever/SUPPORTS,increase,a90b9b31b0c9,Google Search can find stock quotes.,"These include synonyms, weather forecasts, time zones, stock quotes, maps, earthquake data, movie showtimes, airports, home listings, and sports scores."
494,fever,reserve,g24a_fever_95839,fever/SUPPORTS,increase,663bbe0248a9,Jens Stoltenberg was Prime Minister of Norway.,Stoltenberg served as Prime Minister of Norway from 2000 to 2001 and from 2005 to 2013.
495,fever,reserve,g24a_fever_138887,fever/REFUTES,decrease,487f64348f39,Color of Night came out in 2003.,Color of Night is a 1994 American erotic mystery thriller film produced by Cinergi Pictures and released in the United States by Hollywood Pictures.
496,fever,reserve,g24a_fever_128115,fever/REFUTES,decrease,916191a95a17,Jennifer Lopez only made non-studio albums.,"She ventured into the music industry in 1999 with her debut studio album On the 6, preceded by the number-one single ""If You Had My Love""."
497,fever,reserve,g24a_fever_156071,fever/SUPPORTS,increase,e8d6e36de989,"Kellyanne Conway referenced something which never occurred, called the ""Bowling Green massacre.""","Since Trump's inauguration, Conway has been embroiled in a series of controversies, including using the phrase ""alternative facts"", making reference to a ""Bowling Green massacre"" that never occurred, claiming Michael Flynn had the full confidence of the president hours before he was dismissed, and publicly endorsing commercial products associated with the president's daughter Ivanka Trump."
498,fever,reserve,g24a_fever_139730,fever/REFUTES,decrease,59320ac06b7b,The ovary is found in isolation.,"The ovary (From ovarium, literally ""egg"" or ""nut"") is an ovum-producing reproductive organ, found in pairs in the female as part of the vertebrate female reproductive system."
499,fever,reserve,g24a_fever_79538,fever/REFUTES,decrease,e47d828f7934,Sheryl Lee has yet to appear in a film as of 2016.,"After studying acting in college, Lee relocated to Seattle, Washington to work in theater, where she was cast by David Lynch as Laura Palmer and Maddy Ferguson on the 1990 cult TV series Twin Peaks and in the 1992 film Twin Peaks: Fire Walk with Me."
500,fever,reserve,g24a_fever_152117,fever/REFUTES,decrease,4ab5fbd932dd,Soyuz was designed in the 1930s.,"Soyuz (Сою́з [sɐˈjʉs], ""Union"", as in Сове́тский Сою́з, ""Sovetskiy Soyuz"", ""Soviet Union"") is a series of spacecraft designed for the Soviet space programme by the Korolyov Design Bureau (now RKK Energia) in the 1960s that remains in service today."
501,fever,reserve,g24a_fever_146910,fever/SUPPORTS,increase,a19c68af71b7,Caroline Kennedy served as an ambassador.,"Caroline Bouvier Kennedy (born November 27, 1957) is an American author, attorney, and diplomat who served as the United States Ambassador to Japan from 2013 to 2017."
502,fever,reserve,g24a_fever_1035,fever/SUPPORTS,increase,cfab6e151618,Anushka Sharma is an actress.,"Anushka Sharma ([əˈnʊʂkaː ˈʃərmaː]; born 1 May 1988) is an Indian film actress, producer and model."
503,fever,reserve,g24a_fever_70311,fever/REFUTES,decrease,74acbadf8197,IMDb is a professional Dota 2 player.,"The Internet Movie Database (abbreviated IMDb) is an online database of information related to films, television programs and video games, including cast, production crew, fictional characters, biographies, plot summaries, trivia and reviews, operated by IMDb.com, Inc., a subsidiary of Amazon."
504,fever,reserve,g24a_fever_56021,fever/REFUTES,decrease,4fe9343acead,Telemundo is located in Georgia.,"Telemundo is headquartered in the Miami suburb of Hialeah, Florida, and has 1,900 employees worldwide."
505,fever,reserve,g24a_fever_116604,fever/REFUTES,decrease,dfe93b2d3e3e,Adidas is Colombian.,"Adidas AG ([ˈadiˌdas]) (stylised as adidas since 1949) is a German multinational corporation, headquartered in Herzogenaurach, Germany, that designs and manufactures shoes, clothing and accessories."
506,fever,reserve,g24a_fever_66501,fever/SUPPORTS,increase,cf36ed0a19f6,An American singer recorded I Kissed a Girl.,"""I Kissed a Girl"" is a song recorded by American singer Katy Perry for her second studio album, One of the Boys (2008)."
507,fever,reserve,g24a_fever_173666,fever/SUPPORTS,increase,c31eba44c827,Moesia included most of the territory of a modern-day part of Serbia.,"It included most of the territory of modern-day Central Serbia and the northern parts of the modern Republic of Macedonia (Moesia Superior), as well Northern Bulgaria and Romanian Dobrudja (Moesia Inferior). Central Serbia (Централна Србија / Centralna Srbija), also referred to as Serbia proper (Ужа Србија / Uža Srbija), is the part of Serbia lying outside of the provinces of Vojvodina and the disputed territory of Kosovo (Kosovo and Metohija)."
508,fever,reserve,g24a_fever_194172,fever/REFUTES,decrease,671919a831ee,Jeb Bush's father is Barbara Bush.,"Bush, who grew up in Houston, is the second son of former President George H. W. Bush and former First Lady Barbara Bush, and a younger brother of former President George W. Bush. She is the mother of George W. Bush, the 43rd President, and Jeb Bush, the 43rd Governor of Florida. Another member of the Bush family, Bush's second son Jeb Bush, served as the 43rd Governor of Florida (1999 -- 2007) and sought the Republican presidential nomination in 2016."
509,fever,reserve,g24a_fever_21313,fever/SUPPORTS,increase,2de8e90bd07d,John Krasinski is a director.,He also served as a producer and occasional director of the show.
510,fever,reserve,g24a_fever_201439,fever/SUPPORTS,increase,d4e8682a7951,Web applications generate dynamic web pages.,"A static web page is delivered exactly as stored, as web content in the web server's file system, while a dynamic web page is generated by a web application that is driven by server-side software or client-side scripting."
511,fever,reserve,g24a_fever_209342,fever/REFUTES,decrease,c7f519bb26f3,Alexandria is in Qatar.,"Alexandria ([ˌælɪɡˈzændriə] or [ˌælɪɡˈzɑːndriə] Arabic: الإسكندرية; اسكندرية; Ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ, Ⲣⲁⲕⲟⲧⲉ) is the second largest city and a major economic centre in Egypt, extending about 32 km along the coast of the Mediterranean Sea in the north central part of the country. Qatar ([ˈkætɑːr], [kəˈtɑːr] قطر [ˈqɑtˤɑr] Local vernacular pronunciation: [ˈɡɪtˤɑr]), officially the State of Qatar, is a sovereign country located in Western Asia, occupying the small Qatar Peninsula on the northeastern coast of the Arabian Peninsula."
512,fever,reserve,g24a_fever_21187,fever/SUPPORTS,increase,1bca1d1ed37b,The Battle of France happened during World War II.,"The Battle of France, also known as the Fall of France, was the German invasion of France and the Low Countries during the Second World War."
513,fever,reserve,g24a_fever_27701,fever/SUPPORTS,increase,9bb812b714e2,"Phoenix, Arizona is in the southwestern United States.","Phoenix ([ˈfiːnᵻks]) is the capital and most populous city of the U.S. state of Arizona. Arizona ([ɛərᵻˈzoʊnə, _ ærᵻ -]) (Hoozdo Hahoodzo [xòːztò xɑ̀xòːtsò] O'odham: Alĭ ṣonak [ˡaɺi ˡʃonak]) is a state in the southwestern region of the United States."
514,fever,reserve,g24a_fever_28552,fever/SUPPORTS,increase,c4668e2897c5,Match Point has been compared to another Woody Allen film.,"The film treats themes of morality, greed, and the roles of lust, money, and luck in life, leading many to compare it to Allen's earlier film Crimes and Misdemeanors (1989)."
515,fever,reserve,g24a_fever_66031,fever/SUPPORTS,increase,689517a6e2b0,Akhil stars Sayyeshaa.,"After starring a Telugu film Akhil (2015), she made her Bollywood debut in Ajay Devgn's Shivaay (2016)."
516,fever,reserve,g24a_fever_92587,fever/SUPPORTS,increase,1e603a3f76ac,Pearl (Steven Universe) is a fictitious alien.,"Pearl is a fictional character from the 2013 animated series Steven Universe, created by Rebecca Sugar."
517,fever,reserve,g24a_fever_145562,fever/REFUTES,decrease,0c9d29b3ee43,"Camden, New Jersey is in Camden County, New York.","Camden is a city in Camden County, New Jersey."
518,fever,reserve,g24a_fever_136946,fever/SUPPORTS,increase,5d178b01d891,Off the Wall gained critical fame and fortune.,"The record gained critical acclaim and recognition, and won the singer his first Grammy Award. The album was an enormous commercial success; as of 2014 it is certified eight times platinum in the United States and has reportedly sold more than 20 million copies worldwide, making it one of the best selling albums of all time."
519,fever,reserve,g24a_fever_60162,fever/SUPPORTS,increase,575a63f4d30d,Stephenie Meyer created Edward Cullen.,Edward Cullen (né Edward Anthony Masen) is a fictional character in Stephenie Meyer's Twilight series.
520,fever,reserve,g24a_fever_175478,fever/SUPPORTS,increase,2f0175aa2d57,Christian Gottlob Neefe was born in the 1700's.,Christian Gottlob Neefe ([ˈneːfə]; 5 February 1748 -- 28 January 1798) was a German opera composer and conductor.
521,fever,reserve,g24a_fever_14501,fever/SUPPORTS,increase,e95bc179a86d,Qin dynasty introduced several legislation.,"The Qin dynasty introduced several reforms: currency, weights and measures were standardized, and a uniform system of writing was established."
522,fever,reserve,g24a_fever_120290,fever/SUPPORTS,increase,5c58a79fde61,TV Land has a television series on TV Land.,"The series premiered on March 31, 2015 on TV Land and received generally positive reviews from critics."
523,fever,reserve,g24a_fever_74410,fever/REFUTES,decrease,4f437fffff58,Guillermo del Toro died in 1964.,"Guillermo del Toro Gómez ([ɡiˈʝeɾmo ðel ˈtoɾo]; born October 9, 1964) is a Mexican film director, screenwriter, producer, and novelist."
524,fever,reserve,g24a_fever_209099,fever/REFUTES,decrease,90879c00c848,Sennacherib had a fatal accident in 681 BCE.,"He was assassinated in obscure circumstances in 681 BCE, apparently by his eldest son (his designated successor, Esarhaddon, was the youngest)."
525,fever,reserve,g24a_fever_90443,fever/SUPPORTS,increase,8b692a083e4c,Carlos Santana is a guitarist.,In 2003 Rolling Stone magazine listed Santana at number 20 on their list of the 100 Greatest Guitarists of All Time.
526,fever,reserve,g24a_fever_181621,fever/SUPPORTS,increase,d4f986bc2cda,WGBH-TV is a station on TV.,"WGBH-TV, channel 2, is a non-commercial educational PBS member television station located in Boston, Massachusetts."
527,fever,reserve,g24a_fever_83758,fever/REFUTES,decrease,fc041cec03ee,Soul Food was released by DreamWorks Animation.,"Soul Food is a 1997 American comedy-drama film produced by Kenneth ""Babyface"" Edmonds, Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures."
528,fever,reserve,g24a_fever_179036,fever/SUPPORTS,increase,66c126f15032,Congressional Space Medal of Honor is awarded by the President on behalf of the Senate.,"The highest award given by NASA, it is awarded by the President of the United States in Congress's name on recommendations from the Administrator of the National Aeronautics and Space Administration."
529,fever,reserve,g24a_fever_119080,fever/REFUTES,decrease,de426c0c67f1,Aphrodite is the daughter of a Titaness only in the Christian Bible.,"In Homer's Iliad, however, she is the daughter of Zeus and Dione."
530,fever,reserve,g24a_fever_205121,fever/REFUTES,decrease,6b1199e71fa0,Gaius Julius Caesar was born after 150 BC.,"Gaius Julius Caesar (ca. 130 BC -- 85 BC) was a Roman senator, a supporter of his brother-in-law, Gaius Marius, and the father of Gaius Julius Caesar, the dictator."
531,fever,reserve,g24a_fever_198065,fever/SUPPORTS,increase,f2026400b1b7,Story of My Life was recorded by a band.,"""Story of My Life"" is a song recorded by English Irish boy band One Direction."
532,fever,reserve,g24a_fever_129180,fever/REFUTES,decrease,f85662ec2a26,Toy Story 2 was produced by DreamWorks.,Toy Story 2 is a 1999 American computer-animated comedy adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures.
533,fever,reserve,g24a_fever_159575,fever/SUPPORTS,increase,e13867e401a8,"Dan O'Bannon died on December 17th, 2009.","Daniel Thomas ""Dan"" O'Bannon (September 30, 1946 -- December 17, 2009) was an American film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres."
0,scifact,active,g24a_scifact_88,scifact/SUPPORT,increase,4c9d962f0c62,Adult tissue-resident macrophages possess a self-renewing capacity.,"We have demonstrated that major tissue-resident macrophage populations, including liver Kupffer cells and lung alveolar, splenic, and peritoneal macrophages, are established prior to birth and maintain themselves subsequently during adulthood independent of replenishment by blood monocytes."
