seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
142,yes,g24cfb_142,5ec284fcc9e77c00084159d3,train,56240,Shaun the Sheep Movie,97713395ff9f,"Shaun the Sheep made £22 million in the UK , £19.4 million in North America and £12.1 million in Germany .","It grossed £106.2 million worldwide , with some of its biggest markets being the United Kingdom ( £22 million ) , North America ( £19.4 million ) and Germany ( £12.1 million ) .","It grossed $ 106.2 million worldwide , with some of its biggest markets being the United Kingdom ( $ 22 million ) , North America ( $ 19.4 million ) and Germany ( $ 12.1 million ) ."
143,yes,g24cfb_143,5ed4de09c9e77c000848a85f,train,192353,Where Are Ü Now,294a94fa1a45,Where are Ü Now was written about Selena Gomez .,"Lyrically , `` Where Are Ü Now '' talks about caring and praying for Selena Gomez who did n't return the favor , and longing for someone who could comfort him in his time of need .","Lyrically , `` Where Are Ü Now '' talks about caring and praying for an ex who did n't return the favor , and longing for someone who could comfort him in his time of need ."
144,yes,g24cfb_144,5ea2d97bc9e77c0009cda611,train,117662,Gulfstream G550,f9874799d47b,Turkey uses one G550 for the Prime Minister 's transport .,Turkey operates one G550 for transport of the Prime Minister . : The Turkish Armed Forces has also ordered two G550 Command and Control Aircraft .,Turkey operates two G550 for transport of the Prime Minister . : The Turkish Armed Forces has also two G550 Command and Control Aircrafts .
145,yes,g24cfb_145,5ed4de0bc9e77c000848b786,train,180832,Soundgarden discography,eee425cd7a4f,Soundgarden 's discography includes more than twenty-three singles and less than twenty music videos .,"The discography of Soundgarden , an American rock band , consists of six studio albums , one live album , four compilation albums , seven extended plays , twenty-four singles and eighteen music videos .","The discography of Soundgarden , an American rock band , consists of six studio albums , one live album , four compilation albums , seven extended plays , twenty-three singles and twenty-four music videos ."
146,yes,g24cfb_146,5ec7d50dc9e77c0008442347,train,109952,The Titan Games,1c20d39854c8,"The Titan Games ' release is scheduled for January 2 , 2019 .","The show is set to premiere on January 2 , 2019.","The show is set to premiere on January 3 , 2019."
147,yes,g24cfb_147,5ea2d97bc9e77c0009cda287,train,116084,Corner kick,596b2c498c4f,Giggs touched the ball before leaving the arc .,"While leaving the arc , however , Giggs sneakily touched the ball , effectively putting it into play .","While leaving the arc , however , Rooney sneakily touched the ball , effectively putting it into play ."
148,yes,g24cfb_148,5ec284fcc9e77c0008415aba,train,80350,Gears of War 4,54c21e0c73a6,Jack Felling is a developer for Black Tusk .,"On April 1 , 2015 , Black Tusk developer Jack Felling confirmed that Gears of War 4 will not be available for the Xbox 360.","On April 1 , 2015 , The Coalition developer Jack Felling confirmed that Gears of War 4 will not be available for the Xbox 360."
149,yes,g24cfb_149,5ec284fec9e77c00084177b5,train,112431,University of Connecticut,93550aa90ebf,The University of Connecticut women ’ s basketball teams have won less than ten National Championships .,"The men ’ s basketball teams have won four National Championships ( 1999 , 2004 , 2011 , and 2014 ) while the women ’ s basketball teams have won nine National Championships ( 1995 , 2000 , 2002 , 2003 , 2004 , 2009 , 2010 , 2013 , 2014 , and 2015 ) and have played in a total of 14 NCAA Final Fours , including the past six .","The men ’ s basketball teams have won four National Championships ( 1999 , 2004 , 2011 , and 2014 ) while the women ’ s basketball teams have won ten National Championships ( 1995 , 2000 , 2002 , 2003 , 2004 , 2009 , 2010 , 2013 , 2014 , and 2015 ) and have played in a total of 14 NCAA Final Fours , including the past six ."
150,yes,g24cfb_150,5eafed80c9e77c0009ce13fe,dev,17358,The Neon Demon,db9cda12a8aa,Critics had diverse opinions of The Neon Demon .,The Neon Demon has received mixed reviews from film critics .,The Neon Demon has received mixed to positive reviews from film critics .
151,yes,g24cfb_151,5ea2d97dc9e77c0009cdb319,train,124334,Kinnikuman,5a206abce8c3,"The 48th tankÅbon came out on October 4 , 2014 .","The 37th tank ? bon was released on January 29 , 2010 , and the 48th volume was released on October 4 , 2014.The first 36 volumes were re-published as part of the Jump Comics Selection line in 26 volumes , as part of the Jump Comics Deluxe line in 18 aiz ? ban volumes from January 14 to November 18 , 1999 and in shins ? ban format on July 6 , 2013 .","The 37th tank ? bon was released on January 29 , 2010 , and the 49th volume was released on December 29 , 2014.The first 36 volumes were re-published as part of the Jump Comics Selection line in 26 volumes , as part of the Jump Comics Deluxe line in 18 aiz ? ban volumes from January 14 to November 18 , 1999 and in shins ? ban format on July 6 , 2013 ."
152,yes,g24cfb_152,5eafed7ec9e77c0009ce0966,train,127013,Snitch -LRB-film-RRB-,289206aae219,The movie Snitch has a `` fresh '' score .,``  Snitch received mixed reviews from critics and has a `` '' fresh '' '' score of 56 % on Rotten tomatoes based on 140 reviews with an average rating of 5.6 out of 10 . '',``  Snitch received mixed reviews from critics and has a `` '' rotten '' '' score of 56 % on Rotten tomatoes based on 140 reviews with an average rating of 5.6 out of 10 . ''
153,yes,g24cfb_153,5eb29888c9e77c0008d93682,train,18618,"Perth, Scotland",219de0a33bc5,The Highland Chieftain is operated by Virgin Trains East Coast .,"There are two direct trains per day to London , the Highland Chieftain operated by Virgin Trains East Coast to King 's Cross ( from Inverness ) , while the Caledonian Sleeper runs overnight to Euston .","There are two direct trains per day to London , the Highland Chieftain operated by London North Eastern Railway to King 's Cross ( from Inverness ) , while the Caledonian Sleeper runs overnight to Euston ."
154,yes,g24cfb_154,5ed4de0bc9e77c000848b709,train,150160,FileVault,fffebfab0a56,Panther is a Mac operating system .,It can be found in the Mac OS X v10.3 `` Panther '' operating system and later .,It can be found in the Mac OS X v10.6 `` Snow Leopard '' operating system and later .
155,yes,g24cfb_155,5ece9463c9e77c00084677fc,train,137180,Ben Gordon,a61b067df430,Ben Gordon last played for the Orlando Magic .,"Benjamin `` Ben '' Gordon ( born April 4 , 1983 ) is a British-American professional basketball player who last played for the Orlando Magic of the National Basketball Association ( NBA ) .","Benjamin `` Ben '' Gordon ( born April 4 , 1983 ) is a British-American professional basketball player who last played for the Charlotte Bobcats of the National Basketball Association ( NBA ) ."
156,yes,g24cfb_156,5eb29887c9e77c0008d92db8,train,14455,Mother!,4630137c9096,The baby 's neck was broken by the crowd .,"When she falls asleep , however , he takes the baby outside to the crowd , who grab the baby and break his neck .","When she falls asleep , however , he takes the baby outside to the crowd , who grab him and break his neck ."
157,yes,g24cfb_157,5eb29889c9e77c0008d93ba8,train,21022,Patrick Peterson,c619f655a3de,Patrick De'mon Peterson Jr. plays for Arizona Cardinals .,"Patrick De'mon Peterson Jr. ( born July 11 , 1990 ) is an American football cornerback for the Arizona Cardinals of the National Football League ( NFL ) .","Patrick De'mon Peterson Jr. ( born July 11 , 1990 ) is an American football cornerback for the New Orleans Saints of the National Football League ( NFL ) ."
158,yes,g24cfb_158,5ee393b7c9e77c0008cccaee,train,228119,2020 coronavirus pandemic in Slovenia,cb0875d82a88,Eight more cases were confirmed,"On March 9 , eight more cases were confirmed .","On March 9 , nine more cases were confirmed ."
159,yes,g24cfb_159,5ec284fcc9e77c0008415926,train,102822,Siemens,2eb677268344,"Before 2015 , Siemens stated that it would acquire the Dresser-Rand Group Inc .","In September 2014 , Siemens said it would buy U.S. oilfield equipment maker Dresser-Rand Group Inc for $ 7.6 billion .","In 2015 , Siemens acquired U.S. oilfield equipment maker Dresser-Rand Group Inc for $ 7.6 billion ."
160,yes,g24cfb_160,5ebbf32ac9e77c0009294d3d,train,34236,Metalcore,f678b8ff091c,Metalcore has extreme metal as a music element .,Metalcore is a fusion genre combining elements of extreme metal and hardcore punk .,Metalcore is a fusion genre combining elements of heavy metal and hardcore punk .
161,yes,g24cfb_161,5ed4de02c9e77c0008489149,train,147746,Earl Sweatshirt,3423209beec7,"On November 20 , Earl Sweatshirt announced his fourth studio album .","On November 20 , Kgositsile released the single `` The Mint '' and announced his fourth studio album , Some Rap Songs which he slated for a November 30 , 2018 release .","On November 20 , Kgositsile released the single `` The Mint '' and announced his third studio album , Some Rap Songs which he slated for a November 30 , 2018 release ."
162,yes,g24cfb_162,5ee39418c9e77c0008ccf0c2,train,229803,American Idiot,e5e77d409b9f,The film adaptation of American Idiot is unfinished .,Its success inspired a Broadway musical and an incomplete feature film adaptation .,Its success inspired a Broadway musical and an planned feature film adaptation .
163,yes,g24cfb_163,5ec284fdc9e77c000841677b,train,63081,AFC North,0b4ecb663020,The Steelers has a record of 9-1 .,"The Steelers have played all three existing AFC North rivals at least once in the postseason , and—including three matchups against the Oilers/Titans franchise while the two were divisional opponents—have a record of 9–1 .","The Steelers have played all three existing AFC North rivals at least once in the postseason , and , including three matchups against the Oilers/Titans franchise while the two were divisional opponents , have a record of 10–1 ."
164,yes,g24cfb_164,5ed7ad02c9e77c00084a6dd8,train,187574,The Secret Life of Pets,2f8f7a7db981,"The Secret Life of Pets is the 17th highest grossing animated film , and the 51st highest grossing film of all time .","Its international takings helped push Universal Pictures [ International ] past $ 1 billion for the tenth consecutive year and aided Illumination Entertainment to pass the $ 4 billion mark for the first time since 2010.It is the fifth-highest-grossing original worldwide film of all time ( behind Avatar , Zootopia , The Lion King , and Finding Nemo ) , the sixth-highest-grossing film of 2016 , the twelfth-highest-grossing animated film of all time , and the 51st-highest-grossing film of all time .","Its international takings helped push Universal Pictures [ International ] past $ 1 billion for the tenth consecutive year and aided Illumination Entertainment to pass the $ 4 billion mark for the first time since 2010.It is the fifth-highest-grossing original worldwide film of all time ( behind Avatar , Zootopia , The Lion King , and Finding Nemo ) , the sixth-highest-grossing film of 2016 , and the 17th-highest-grossing animated film of all time ."
165,yes,g24cfb_165,5ed7ad01c9e77c00084a63c0,dev,26771,Yoko Ono,49e5d95d510e,The Ono family used a wheelchair to carry their belongings .,Starvation was rampant in the destruction that followed the Tokyo bombings ; the Ono family was forced to beg for food while pulling their belongings with them in a wheelchair .,Starvation was rampant in the destruction that followed the Tokyo bombings ; the Ono family was forced to beg for food while pulling their belongings with them in a wheelbarrow .
166,yes,g24cfb_166,5ec55988c9e77c000842b9e2,train,98039,Point Break -LRB-2015 film-RRB-,6fc2f4bbfbe9,Point Break is an American-Chinese co-production .,"An American-Chinese co-production , the film is a remake of the 1991 film of the same name by Rick King and W. Peter Iliff , which starred Patrick Swayze and Keanu Reeves .","An American-German-Chinese co-production , the film is a remake of the 1991 film of the same name by Rick King and W. Peter Iliff , which starred Patrick Swayze and Keanu Reeves ."
167,yes,g24cfb_167,5eafed80c9e77c0009ce1010,test,597,Pearl Harbor -LRB-film-RRB-,75e1312410df,Danny and Evelyn have a sexual relationship .,Danny takes Evelyn for a sunset flight over the harbor and begins a relationship with her by having sex .,Danny takes Evelyn for a sunset flight over the harbor and begins a relationship with her .
168,yes,g24cfb_168,5ed7ad02c9e77c00084a68de,dev,19432,Carlos Hyde,f01986ce0f38,Carlos Hyde plays for the Cleveland Browns .,"Carlos Dramome Hyde ( born September 20 , 1990 ) is an American football running back for the Cleveland Browns of the National Football League ( NFL ) .","Carlos Dramome Hyde ( born September 20 , 1990 ) is an American football running back for the San Francisco 49ers of the National Football League ( NFL ) ."
169,yes,g24cfb_169,5ee39418c9e77c0008ccf3c2,train,245819,The Hundred-Foot Journey -LRB-film-RRB-,efeea6d607df,Amblin Entertainment and Harpo Films are associated with Image Nation .,"Produced by Steven Spielberg and Oprah Winfrey for DreamWorks Pictures through their respective production companies , Amblin Entertainment and Harpo Films , in association with Participant Media and Image Nation , it was released by Touchstone Pictures on August 8 , 2014 , receiving generally positive reviews and earning nearly $ 90 million at the worldwide box office.","Produced by Steven Spielberg and Oprah Winfrey for DreamWorks Pictures through their respective production companies , Amblin Entertainment and Harpo Films , in association with Participant Media and Reliance Entertainment , it was released by Touchstone Pictures on August 8 , 2014 , and earned nearly $ 90 million at the worldwide box office."
170,yes,g24cfb_170,5ed7ad01c9e77c00084a62bf,train,141233,Charlie Austin,dc09cd1ce1e3,Charlie Austin joined Southampton in early 2016 .,"On 24 May , Austin scored QPR 's goal in a 5–1 final day defeat at Leicester City to finish the season as the fourth top goal scorer in the Premier League , with 18 goals. On 16 January 2016 , Austin returned to the Premier League , joining Southampton on a four-and-a-half-year deal for a reported fee of £4 million .","On 24 May , Austin scored QPR 's goal in a 5–1 final day defeat at Leicester City to finish the season as the fourth top goal scorer in the Premier League , with 18 goals. On 16 January 2016 , Austin returned to the Premier League , joining Man United on a four-and-a-half-year deal for a reported fee of £4 million ."
171,yes,g24cfb_171,5ee39418c9e77c0008ccf395,train,247672,Tyne Daly,383cb568195d,The Cleveland Show ( series ) has more than one season .,"A season two episode of The Cleveland Show , titled `` Once Upon a Tyne in New York '' , made repeated references to Daly .","A season one episode of The Cleveland Show , titled `` Once Upon a Tyne in New York '' , made repeated references to Daly ."
172,yes,g24cfb_172,5ebe6f30c9e77c00084086f9,train,47952,MisterWives,4bcb24150296,MisterWives ' album Reflections was released after 2014 .,The band 's debut album Reflections was released in January 2015.,The band 's debut album Reflections was released in January 2014.
173,yes,g24cfb_173,5eb29889c9e77c0008d944cc,test,2922,Rowdy Tellez,b6d786721865,Rowdy Tellez 's 505ft feat is the longest home run in the park 's history .,"On April 11 , 2019 , he hit a 505ft home run at Fenway Park , making it the longest home run in the park ’ s history.","On April 11 , 2019 , though it was initially reported he hit a 505 ft home run at Fenway Park , it was later confirmed to fall short of that distance ."
174,yes,g24cfb_174,5ebe6f31c9e77c000840944f,train,52934,Speedunnodu,a9f84100b931,Speedunnodu received negative reviews upon release .,The film released worldwide on 5 February 2016 to negative reviews.,The film released worldwide on 5 February 2016 to mixed reviews.
175,yes,g24cfb_175,5ee39416c9e77c0008ccd770,train,248641,Winnie Harlow,1dbbd15a54b4,Winnie Harlow is a Canadian fashion model .,"Winnie Harlow ( born Chantelle Brown-Young ; July 27 , 1994 ) is a Canadian fashion model and public spokesperson on the skin condition vitiligo .","Winnie Harlow ( born Chantelle Brown-Young ; July 27 , 1994 ) is a Jamaican-Canadian fashion model and public spokesperson on the skin condition vitiligo ."
176,yes,g24cfb_176,5ebe6f2cc9e77c0008407661,train,68643,Birdy -LRB-singer-RRB-,564d6d458c29,Birdy 's third album was released before 2016 .,"Her third studio album , Beautiful Lies , was released on 25 March 2015.Birdy is a soprano .","Her third studio album , Beautiful Lies , was released on 25 March 2016.Birdy is a soprano ."
177,yes,g24cfb_177,5ea2d97dc9e77c0009cdaf5d,train,122338,2012ï¿½13 Manchester United F.C. season,e47260de8f3a,United lost against Tottenham .,United suffered a 3ï¿½2 loss at the hands of Tottenham .,United suffered a 2ï¿½2 Draw at the hands of Tottenham .
178,yes,g24cfb_178,5ece9464c9e77c0008467c89,train,105152,Teen Beach Movie,78463608b608,Teen Beach Movie 's sequel was titled Teen Beach 2 .,"It was the only Disney Channel film to premiere in 2013.A sequel titled Teen Beach 2 premiered on June 26 , 2015.","It was the only Disney Channel film to premiere in 2013.A sequel titled Teen Beach 7 premiered on June 26 , 2015."
179,yes,g24cfb_179,5ece9461c9e77c0008465f14,train,173701,Pisco,4264bf3b8f08,Pisco is originally from Peru .,"The European Commission considers that pisco originates from Peru , but also allows the term to be used for products from Chile Annex III of EC Regulation 110/2008 , amended .","The European Commission considers that pisco originates from Chile , but also allows the term to be used for products from Peru Annex III of EC Regulation 110/2008 , amended ."
180,yes,g24cfb_180,5eafed7ec9e77c0009ce0914,train,126739,Trinidad James,813fbef09015,"Trinidad James is an American from Atlanta , Georgia .","Nicholas Williams ( born September 23 , 1987 ) , better known by his stage name Trinidad James ( often stylized as Trinidad Jame $ ) , is an American rapper from Atlanta , Georgia .","Nicholas Williams ( born September 23 , 1987 ) , better known by his stage name Trinidad James ( often stylized as Trinidad Jame $ ) , is an Trinidadian rapper from Port of Spain City , Trinidad & Tobago , ."
181,yes,g24cfb_181,5ec284fec9e77c0008417197,train,71865,Chesney Hawkes,f67b87426789,"Chesney Lee Hawkes was born after September 25 , 1971 .","Chesney Hawkes ( born 28 September 1971 ) , is an English pop singer , songwriter , and occasional actor .","Chesney Lee Hawkes ( born 22 September 1971 ) , is an English pop singer , songwriter , and occasional actor ."
182,yes,g24cfb_182,5ec284fec9e77c00084174c6,train,94885,NBA Rookie of the Year Award,6f1cfffbf00f,Michael Carter-Williams is the most recent NBA Rookie of the Year .,The most recent Rookie of the Year winner is Michael Carter-Williams .,The most recent Rookie of the Year winner is Damian Lillard .
183,yes,g24cfb_183,5ed4de03c9e77c00084894f6,train,191749,Vivian Vance,c675ea7483d2,Vivian Vance was born before 1910 .,"Vivian Vance ( born Vivian Roberta Jones , July 26 , 1909 – August 17 , 1979 ) was an American television and theater actress and singer .","Vivian Vance ( born Vivian Roberta Jones , July 26 , 1915 – August 17 , 1979 ) was an American television and theater actress and singer ."
184,yes,g24cfb_184,5ebbf32bc9e77c00092955ac,train,38888,Arjun Reddy,51931d388ce9,The movie Arjun Reddy had critical acclaim from audiences .,Arjun Reddy received critical acclaim from critics and audiences alike .,Arjun Reddy received positive reviews from critics .
185,yes,g24cfb_185,5ece9464c9e77c0008467a72,train,215555,Allosaurus,99d8efea5a75,`` Allosaurus '' means `` different lizard '' .,The name `` Allosaurus '' means `` different lizard '' alluding to its unique concave vertebrae ( at the time of its discovery ) .,The name `` Allosaurus '' means `` jumping lizard '' alluding to its unique concave vertebrae ( at the time of its discovery ) .
186,yes,g24cfb_186,5ec5598ec9e77c000842c702,train,79327,For Honor,9e78ebe333b9,"The game For Honor allows players to play as knights , samurai and vikings .","The game allows players to play the roles of historical forms of soldiers and warriors , including knights , samurai , and vikings within a medieval setting , controlled using a third-person perspective .","The game allows players to play the roles of historical forms of soldiers and warriors , including Sumo Wrestlers and Cannibals within a medieval setting , controlled using a third-person perspective ."
187,yes,g24cfb_187,5ea2d97bc9e77c0009cda372,train,116455,Adenoviridae,136081e4f8c2,The majority of individuals infected with adenovirus recover by themselves .,"Rarely , adenovirus can cause cystitis ( inflammation of the urinary bladderï¿½a form of urinary tract infectionï¿½with blood in the urine ) .Most people recover from adenovirus infections by themselves , but people with immunodeficiency sometimes die of adenovirus infections , andï¿½rarelyï¿½even previously healthy people can die of these infections .","Rarely , adenovirus can cause cystitis ( inflammation of the urinary bladderï¿½a form of urinary tract infectionï¿½with blood in the urine ) .All people recover from adenovirus infections by themselves , but people with immunodeficiency sometimes die of adenovirus infections , andï¿½rarelyï¿½even previously healthy people can die of these infections ."
188,yes,g24cfb_188,5ec284fcc9e77c0008415ad4,dev,11931,Jaya Janaki Nayaka,e2ed12459776,Jaya Janaki Nayaka was a financial failure .,It was a disaster at the box office.,It was a moderate success at the box office.
189,yes,g24cfb_189,5ea2d97dc9e77c0009cdaec1,train,122059,2011 Stanley Cup playoffs,f049db7e1049,The Montreal Canadiens scored three more wins than Buffalo .,"The Montreal Canadiens earned the sixth seed with 96 points , winning the tiebreaker over Buffalo on regulation and overtime wins ( 41 to 38 ) .","The Montreal Canadiens earned the sixth seed with 96 points , winning the tiebreaker over Buffalo on wins ( 44 to 43 ) ."
190,yes,g24cfb_190,5eafed7ec9e77c0009ce0f92,train,3314,B'Day -LRB-Beyonc� album-RRB-,b9ad66673f30,"By June 2015 , B'Day sold above 9 million copies globally .","As of June 2015 , B'Day has sold 10 million copies worldwide.","As of June 2015 , B'Day has sold 8 million copies worldwide."
191,yes,g24cfb_191,5ec5598bc9e77c000842bf69,train,93096,MG Cars,e03295e4f425,The MG RV8 was launched in 1993 .,"The MG name was revived in 1993 with the launch of the MG RV8 , followed by the mid-engined MG F in 1995.","The MG name was revived for a second time in 1992 with the launch of the MG RV8 , followed by the mid-engined MG F in 1995 , which proved to be more successful than the short-lived RV8."
192,yes,g24cfb_192,5ec284fcc9e77c0008415bc3,train,90283,Lil Twist,1a160baa1b0b,"Lil Twist , is a rapper from , Duncanville , Texas .","Christopher Lynn Moore ( born January 11 , 1993 ) , known by his stage name Lil Twist , is a rapper from , Duncanville , Texas .","Christopher Lynn Moore ( born January 11 , 1993 ) , known by his stage name Lil Twist , is a rapper from Oak Cliff , Dallas , Texas ."
193,yes,g24cfb_193,5ebbf32bc9e77c0009295094,train,36126,Chris Simms,b20a2243279d,Chris Simms played in a game lost by Florida .,"Because of an upset loss by Florida earlier in the day , Texas went into the Big 12 Championship game knowing that a win would likely put them in the 2002 BCS Championship Game .","Because of an upset loss by Tennessee earlier in the day , Texas went into the Big 12 Championship game knowing that a win would likely put them in the 2002 BCS Championship Game ."
194,yes,g24cfb_194,5eafed80c9e77c0009ce1153,train,4418,Yello,28bf44d60027,Their single featured in two movies .,"`` They are most famous for their 1985 single `` '' Oh Yeah '' '' which featured in the films Ferris Bueller 's Day Off , The Secret of My Success and K-9 . ''","`` They are most famous for their 1985 single `` '' Oh Yeah '' '' which featured in the films Ferris Bueller 's Day Off , The Secret of My Success , an American Piemovie and K-9 . ''"
195,yes,g24cfb_195,5ee39418c9e77c0008ccee27,train,244694,Tardigrade,8ce8ff81c3d4,Lazzaro Spallanzani came up with the name Tardigradum before 1777 .,"The name Tardigradum means `` slow walker '' and was given by Lazzaro Spallanzani in 1776.The name `` water-bear '' comes from the way they walk , reminiscent of a bear 's gait .","The name Tardigradum means `` slow walker '' and was given by Lazzaro Spallanzani in 1777.The name `` water-bear '' comes from the way they walk , reminiscent of a bear 's gait ."
196,yes,g24cfb_196,5ed7ad01c9e77c00084a666f,train,218011,Hydro-Québec,5863c0f4f9dd,Hydro-Quebec is the world 's second largest hydroelectric producer after China .,"Relying almost exclusively on its sixty hydroelectric generating stations , Hydro-Quebec is the largest electricity generator in Canada and perhaps second worldwide largest hydroelectric producer , at least after China .","Relying almost exclusively on its sixty hydroelectric generating stations , Hydro-Québec is the largest electricity generator in Canada and the world 's largest hydroelectric producer ."
197,yes,g24cfb_197,5ee393b6c9e77c0008ccbb42,dev,36799,2019–20 coronavirus pandemic,355e5f9fc385,In Quebec more than five people have been put under surveillance .,"As of 22 January , six people were put under observation in Quebec after showing signs of a respiratory virus since recently returning from China .","As of 22 January , five people were put under observation in Quebec after showing signs of a respiratory virus since recently returning from China ."
198,yes,g24cfb_198,5ec284fec9e77c0008417337,dev,11641,I Am Mother,a79dd193496d,"In I Am Mother , Clara is a girl in a post-apocalyptic bunker .","Starring Clara Rugaard , Luke Hawker , Rose Byrne , and Hilary Swank , the film follows Clara , a girl in a post-apocalyptic bunker , being raised by Mother , an android supposed to aid in the repopulation of Earth .","Starring Clara Rugaard , Luke Hawker , Rose Byrne , and Hilary Swank , the film follows Daughter , a girl in a post-apocalyptic bunker , being raised by Mother , an android supposed to aid in the repopulation of Earth ."
199,yes,g24cfb_199,5ebbf32ac9e77c0009294f57,train,35305,Anchorman-COLON- The Legend of Ron Burgundy,67614fb31749,"In the movie Anchorman : The Legend of Ron Burgundy , the character Ron worked at a television station before 1974 .","In 1973 , Ron Burgundy is the famous anchorman for a local San Diego television station , fictional KVWN channel 4 .","In 1974 , Ron Burgundy is the famous anchorman for a local San Diego television station , fictional KVWN channel 4 ."
200,no,g24cfb_200,5ee39329c9e77c0008cc9198,train,203181,2020 coronavirus pandemic in Lithuania,845d4082342b,The first case of the COVID-19 was reported in Lithuania after February 2020 .,The 2019–20 coronavirus pandemic was confirmed to have reached Lithuania in March 2020 .,The 2019–20 coronavirus pandemic was confirmed to have reached Lithuania in February 2020 .
201,no,g24cfb_201,5ebe6f32c9e77c00084098eb,train,55184,Tony Yayo,d6fedfffda88,"Tony Yayo has two children , a daughter and a son .",Tony Yayo has a daughter named Maniyah ( born 2003 ) and a son London ( born 2008 ) .,"Tony Yayo has 3 children , eldest son aka Just Doo , daughter named Maniyah ( nana ) ( born 2003 ) and a son London ( born 2008 ) ."
202,no,g24cfb_202,5ee39417c9e77c0008cce9c8,train,237993,Kendrick Lamar,039c0f271961,"Lamar witnessed his idols , Tupac Shakur and Dr. Dre , film the music video for their hit single Chitang Chitang .","In 1995 , at the age of eight in his hometown of Compton , Lamar witnessed his idols , Tupac Shakur and Dr. Dre , film the music video for their hit single `` Chitang Chitang '' , which proved to be a very significant moment in his life . ( 2011-08-31 ) Kendrick Lamar : Origins Of Excellence Pt .","In 1995 , at the age of eight in his hometown of Compton , Lamar witnessed his idols , Tupac Shakur and Dr. Dre , film the music video for their hit single `` California Love '' , which proved to be a very significant moment in his life . ( 2011-08-31 ) Kendrick Lamar : Origins Of Excellence Pt ."
203,no,g24cfb_203,5ed4de0ac9e77c000848b405,train,168711,Mike Iupati,5d7d1a55501a,Michael Iupati plays for the San Francisco 49ers .,"Michael Iupati ( or ; born May 12 , 1987 ) is an American football guard for the San Francisco 49ers of the National Football League ( NFL ) .","Michael Iupati ( or ; born May 12 , 1987 ) is an American football guard for the Buffalo Bills of the National Football League ( NFL ) ."
204,no,g24cfb_204,5ec7d50ec9e77c0008442c0c,train,109437,The Second Best Exotic Marigold Hotel,f47507eb2de8,"The Second Best Exotic Marigold Hotel 's earnings are counted as of April 25 , 2015 .","As of April 25 , 2015 , The Second Best Exotic Marigold Hotel has grossed $ 32.2 million in North America and $ 47.7 million in other territories for a total gross of $ 80 million , against a budget of $ 10 million .","As of May 14 , 2015 , The Second Best Exotic Marigold Hotel has grossed $ 32.8 million in North America and $ 51.1 million in other territories for a total gross of $ 83.9 million , against a budget of $ 10 million ."
205,no,g24cfb_205,5eafed80c9e77c0009ce138a,train,124921,Anemometer,9809c0a3f786,Sonic anemometers can become thermometers .,"Since the speed of sound varies with temperature , and is virtually stable with pressure change , sonic anemometers are also used as thermometers .","Since the speed of sound varies with temperature , and is virtually stable with pressure change , ultrasonic anemometers are also used as thermometers ."
206,no,g24cfb_206,5ec7d50ec9e77c0008442a35,train,149467,Fabrizio Moretti,d6a3b3232c2c,Fabrizio Moretti was born after 1985 .,"Fabrizio Moretti ( born June 2 , 1990 ) is a Brazilian-American drummer who plays in the American indie rock band The Strokes .","Fabrizio Moretti ( born June 2 , 1980 ) is a Brazilian-American drummer who plays in the American indie rock band The Strokes ."
207,no,g24cfb_207,5eb29885c9e77c0008d92807,dev,2161,Shane Duffy,f4e62df81900,Shane Duffy went back to Yeovil after 2014 .,"Duffy rejoined Yeovil on 1 January 2015 when the transfer window re-opened , joining on loan until the end of the season.","Duffy rejoined Yeovil on 1 January 2014 when the transfer window re-opened , joining on loan until the end of the season."
208,no,g24cfb_208,5ede072fc9e77c00084d2fe6,train,223379,The Purge-COLON- Election Year,32f2ed440500,The events in The Purge : Election Year begin before 2022 .,The film opens in the year 2021 one year before the events of the first film .,The film opens in the year 2022 the same year as the events of the first film .
209,no,g24cfb_209,5ebe6f2ec9e77c0008407a46,dev,7055,Seabiscuit -LRB-film-RRB-,590de80115a2,"In the movie Seabiscuit , the family of the character Red is wealthy .",Red is the child of a wealthy family that is financially ruined by the Great Depression .,Red is the child of a Canadian family financially ruined by the Great Depression .
210,no,g24cfb_210,5eafed80c9e77c0009ce10fb,train,4156,August Burns Red,f0ee59f4754f,One band member quit the band in 2004 .,"After playing many local shows within Lancaster , they recorded their first EP , titled Looks Fragile After All with label CI Records in 2004.Vocalist Jon Hershey eventually quit the band during the same year , which led to Josh McManness taking on the position as lead singer .","After playing many local shows within Lancaster , they recorded their first EP , titled Looks Fragile After All with label CI Records in 2004.Vocalist Jon Hershey , temporary bassist Chris Allee , gutarist Josh Adams all eventually quit the band during the same year , which led to Josh McManness taking on the position as lead singer ."
211,no,g24cfb_211,5ee393b6c9e77c0008ccc1bd,dev,32187,2019–20 coronavirus pandemic,65d1ad46a16c,"On 14 March , China news announced that the first confirmed case of the COVID-19 was a 55-year-old Hubei resident .","More recently , on 14 March 2020 , Chinese news announced that the first confirmed case of the COVID-19 disease , caused by the SARS-cov-2 virus , has been traced back to a 55-year-old patient in Hubei province , and was reported in a Chinese newspaper on 17 November 2019 .","More recently , on 14 March 2020 , Chinese news announced that the first possible case of the COVID-19 disease , caused by the SARS-cov-2 virus , has been traced back to a 55-year-old patient in Hubei province , and was reported in a Chinese newspaper on 17 November 2019 ."
